Format,Metric,Year,Number of Records,Value (Actual)
Music Video (Physical),Units,2003-01-01,1,19.9
Music Video (Physical),Units,2004-01-01,1,32.8
Music Video (Physical),Units,2005-01-01,1,33.8
Music Video (Physical),Units,2006-01-01,1,23.2
Music Video (Physical),Units,2007-01-01,1,27.5
Music Video (Physical),Units,2008-01-01,1,13.2
Music Video (Physical),Units,2009-01-01,1,11.6
Music Video (Physical),Units,2010-01-01,1,9.1
Music Video (Physical),Units,2011-01-01,1,7.7
Music Video (Physical),Units,2012-01-01,1,6.032725467
Music Video (Physical),Units,2013-01-01,1,4.814626524
Music Video (Physical),Units,2014-01-01,1,4.065323601
Music Video (Physical),Units,2015-01-01,1,3.133228006
Music Video (Physical),Units,2016-01-01,1,2.495531725
Music Video (Physical),Units,2017-01-01,1,1.87712837
Music Video (Physical),Units,2018-01-01,1,1.395058021
Music Video (Physical),Units,2019-01-01,1,1.32294236
DVD Audio,Units,1973-01-01,1,29.266338245
DVD Audio,Units,1974-01-01,1,29.266338245
DVD Audio,Units,1975-01-01,1,29.266338245
DVD Audio,Units,1976-01-01,1,29.266338245
DVD Audio,Units,1977-01-01,1,29.266338245
DVD Audio,Units,1978-01-01,1,29.266338245
DVD Audio,Units,1979-01-01,1,29.266338245
DVD Audio,Units,1980-01-01,1,29.266338245
DVD Audio,Units,1981-01-01,1,29.266338245
DVD Audio,Units,1982-01-01,1,29.266338245
DVD Audio,Units,1983-01-01,1,29.266338245
DVD Audio,Units,1984-01-01,1,29.266338245
DVD Audio,Units,1985-01-01,1,29.266338245
DVD Audio,Units,1986-01-01,1,29.266338245
DVD Audio,Units,1987-01-01,1,29.266338245
DVD Audio,Units,1988-01-01,1,29.266338245
DVD Audio,Units,1989-01-01,1,29.266338245
DVD Audio,Units,1990-01-01,1,29.266338245
DVD Audio,Units,1991-01-01,1,29.266338245
DVD Audio,Units,1992-01-01,1,29.266338245
DVD Audio,Units,1993-01-01,1,29.266338245
DVD Audio,Units,1994-01-01,1,29.266338245
DVD Audio,Units,1995-01-01,1,29.266338245
DVD Audio,Units,1996-01-01,1,29.266338245
DVD Audio,Units,1997-01-01,1,29.266338245
DVD Audio,Units,1998-01-01,1,29.266338245
DVD Audio,Units,1999-01-01,1,29.266338245
DVD Audio,Units,2000-01-01,1,29.266338245
DVD Audio,Units,2001-01-01,1,0.263
DVD Audio,Units,2002-01-01,1,0.43
DVD Audio,Units,2003-01-01,1,0.4
DVD Audio,Units,2004-01-01,1,0.3
DVD Audio,Units,2005-01-01,1,0.5
DVD Audio,Units,2006-01-01,1,0.1
DVD Audio,Units,2007-01-01,1,0.2
DVD Audio,Units,2008-01-01,1,0.04
DVD Audio,Units,2009-01-01,1,0.1
DVD Audio,Units,2010-01-01,1,0.04
DVD Audio,Units,2011-01-01,1,0.01
DVD Audio,Units,2012-01-01,1,0.008533145
DVD Audio,Units,2013-01-01,1,0.054735168
DVD Audio,Units,2014-01-01,1,0.066542722
DVD Audio,Units,2015-01-01,1,0.179506738
DVD Audio,Units,2016-01-01,1,0.085898932
DVD Audio,Units,2017-01-01,1,0.061332251
DVD Audio,Units,2018-01-01,1,0.092803246
DVD Audio,Units,2019-01-01,1,0.027982262
SACD,Units,1973-01-01,1,29.266338245
SACD,Units,1974-01-01,1,29.266338245
SACD,Units,1975-01-01,1,29.266338245
SACD,Units,1976-01-01,1,29.266338245
SACD,Units,1977-01-01,1,29.266338245
SACD,Units,1978-01-01,1,29.266338245
SACD,Units,1979-01-01,1,29.266338245
SACD,Units,1980-01-01,1,29.266338245
SACD,Units,1981-01-01,1,29.266338245
SACD,Units,1982-01-01,1,29.266338245
SACD,Units,1983-01-01,1,29.266338245
SACD,Units,1984-01-01,1,29.266338245
SACD,Units,1985-01-01,1,29.266338245
SACD,Units,1986-01-01,1,29.266338245
SACD,Units,1987-01-01,1,29.266338245
SACD,Units,1988-01-01,1,29.266338245
SACD,Units,1989-01-01,1,29.266338245
SACD,Units,1990-01-01,1,29.266338245
SACD,Units,1991-01-01,1,29.266338245
SACD,Units,1992-01-01,1,29.266338245
SACD,Units,1993-01-01,1,29.266338245
SACD,Units,1994-01-01,1,29.266338245
SACD,Units,1995-01-01,1,29.266338245
SACD,Units,1996-01-01,1,29.266338245
SACD,Units,1997-01-01,1,29.266338245
SACD,Units,1998-01-01,1,29.266338245
SACD,Units,1999-01-01,1,29.266338245
SACD,Units,2000-01-01,1,29.266338245
SACD,Units,2001-01-01,1,29.266338245
SACD,Units,2002-01-01,1,29.266338245
SACD,Units,2003-01-01,1,1.3
SACD,Units,2004-01-01,1,0.8
SACD,Units,2005-01-01,1,0.5
SACD,Units,2006-01-01,1,0.3
SACD,Units,2007-01-01,1,0.2
SACD,Units,2008-01-01,1,0.1
SACD,Units,2009-01-01,1,0.1
SACD,Units,2010-01-01,1,0.1
SACD,Units,2011-01-01,1,0.1
SACD,Units,2012-01-01,1,0.065446
SACD,Units,2013-01-01,1,0.044683
SACD,Units,2014-01-01,1,0.030486
SACD,Units,2015-01-01,1,0.041633
SACD,Units,2016-01-01,1,0.045272
SACD,Units,2017-01-01,1,0.032749
SACD,Units,2018-01-01,1,0.032804
SACD,Units,2019-01-01,1,0.017654
Download Single,Units,1973-01-01,1,29.266338245
Download Single,Units,1974-01-01,1,29.266338245
Download Single,Units,1975-01-01,1,29.266338245
Download Single,Units,1976-01-01,1,29.266338245
Download Single,Units,1977-01-01,1,29.266338245
Download Single,Units,1978-01-01,1,29.266338245
Download Single,Units,1979-01-01,1,29.266338245
Download Single,Units,1980-01-01,1,29.266338245
Download Single,Units,1981-01-01,1,29.266338245
Download Single,Units,1982-01-01,1,29.266338245
Download Single,Units,1983-01-01,1,29.266338245
Download Single,Units,1984-01-01,1,29.266338245
Download Single,Units,1985-01-01,1,29.266338245
Download Single,Units,1986-01-01,1,29.266338245
Download Single,Units,1987-01-01,1,29.266338245
Download Single,Units,1988-01-01,1,29.266338245
Download Single,Units,1989-01-01,1,29.266338245
Download Single,Units,1990-01-01,1,29.266338245
Download Single,Units,1991-01-01,1,29.266338245
Download Single,Units,1992-01-01,1,29.266338245
Download Single,Units,1993-01-01,1,29.266338245
Download Single,Units,1994-01-01,1,29.266338245
Download Single,Units,1995-01-01,1,29.266338245
Download Single,Units,1996-01-01,1,29.266338245
Download Single,Units,1997-01-01,1,29.266338245
